Symbol,Description
U9E.SI,Hankore Environment Tec Grpltd
UD1U.SI,Ireit Global
UD2.SI,Japfa Ltd.
UQ4.SI,Emas Offshore Limited
URR.SI,Sim Leisure Group Ltd.
UV1.SI,Hisaka Holdings Ltd.
V01.SI,Vicom Ltd
V03.SI,Venture Corporation Limited
V2Y.SI,Synagie Corporation Ltd.
V3M.SI,Metech International Ltd
VFP.SI,China Medical (intl) Gp Ltd
VK7W.SI,Uob Mb Ecw 200601
VL6.SI,Koufu Group Limited
W05.SI,Wing Tai Hldgs Ltd
WPC.SI,Vallianz Holdings Ltd
X06.SI,Sinopipe Holdings Limited
XCF.SI,Ktmg Limited
XZL.SI,Ara Us Hospitality Trust
Y03.SI,Yeo Hiap Seng Ltd
Y06.SI,Youcan Foods International Ltd
Y35.SI,Sun East Group Limited
Y45.SI,Singapore Windsor Holdings Ltd
Y92.SI,Thai Beverage Public Co Ltd
YYB.SI,Arion Entertainment Spore Ltd
Z25.SI,Yanlord Land Group Limited
Z59.SI,Yoma Strategic Holdings Ltd
Z74.SI,Singtel
Z77.SI,Singtel 10
